Source,Target,Type,Id,Label,timeset,Weight,rating
13,16,Directed,1165,,,1,0.8
13,10,Directed,1166,,,1,0.8
21,1,Directed,1167,,,1,0.8
21,10,Directed,1168,,,1,0.8
21,8,Directed,1169,,,1,0.9
10,1,Directed,1170,,,1,0.8
10,21,Directed,1171,,,1,0.8
10,25,Directed,1172,,,1,1
13,1,Directed,1173,,,1,0.8
1,17,Directed,1174,,,1,0.9
17,1,Directed,1175,,,1,0.9
61,20,Directed,1176,,,1,0.8
71,1,Directed,1177,,,1,0.8
119,1,Directed,1178,,,1,1
119,127,Directed,1179,,,1,1
1,2,Directed,1180,,,1,0.8
127,119,Directed,1181,,,1,1
2,3,Directed,1182,,,1,0.8
1,7,Directed,1183,,,1,0.9
2,1,Directed,1184,,,1,0.8
39,2,Directed,1185,,,1,0.8
33,1,Directed,1186,,,1,0.8
237,202,Directed,1187,,,1,1
2,62,Directed,1188,,,1,0.8
80,81,Directed,1189,,,1,0.8
60,257,Directed,1190,,,1,1
149,25,Directed,1191,,,1,1
279,60,Directed,1192,,,1,0.8
283,284,Directed,1193,,,1,1
284,283,Directed,1194,,,1,1
21,93,Directed,1195,,,1,0.8
93,21,Directed,1196,,,1,0.8
313,45,Directed,1197,,,1,1
57,7,Directed,1198,,,1,0.8
4,202,Directed,1199,,,1,0.8
330,7,Directed,1200,,,1,1
342,395,Directed,1201,,,1,1
410,201,Directed,1202,,,1,1
198,2,Directed,1203,,,1,0.8
219,1,Directed,1204,,,1,1
397,278,Directed,1205,,,1,0.8
51,451,Directed,1206,,,1,1
451,51,Directed,1207,,,1,1
486,1,Directed,1208,,,1,1
21,490,Directed,1209,,,1,0.8
64,104,Directed,1210,,,1,1
132,7,Directed,1211,,,1,1
111,499,Directed,1212,,,1,1
499,111,Directed,1213,,,1,1
490,21,Directed,1214,,,1,0.8
520,484,Directed,1215,,,1,1
144,202,Directed,1216,,,1,0.8
202,144,Directed,1217,,,1,0.8
300,529,Directed,1218,,,1,1
529,300,Directed,1219,,,1,1
571,570,Directed,1220,,,1,1
570,571,Directed,1221,,,1,1
581,159,Directed,1222,,,1,1
588,587,Directed,1223,,,1,1
602,159,Directed,1224,,,1,1
200,623,Directed,1225,,,1,1
484,304,Directed,1226,,,1,1
628,605,Directed,1227,,,1,0.8
623,200,Directed,1228,,,1,1
113,7,Directed,1229,,,1,0.8
395,342,Directed,1230,,,1,1
636,635,Directed,1231,,,1,1
650,651,Directed,1232,,,1,1
651,650,Directed,1233,,,1,1
691,523,Directed,1234,,,1,1
678,717,Directed,1235,,,1,0.9
184,720,Directed,1236,,,1,1
721,64,Directed,1237,,,1,1
720,184,Directed,1238,,,1,1
717,678,Directed,1239,,,1,0.9
167,2,Directed,1240,,,1,0.8
167,245,Directed,1241,,,1,0.8
167,223,Directed,1242,,,1,0.8
167,39,Directed,1243,,,1,0.8
39,167,Directed,1244,,,1,0.8
39,223,Directed,1245,,,1,0.8
39,245,Directed,1246,,,1,0.8
39,1,Directed,1247,,,1,0.8
747,732,Directed,1248,,,1,1
64,770,Directed,1249,,,1,1
770,64,Directed,1250,,,1,1
778,732,Directed,1251,,,1,1
780,814,Directed,1252,,,1,1
814,780,Directed,1253,,,1,1
353,1,Directed,1254,,,1,1
9,1,Directed,1255,,,1,1
61,109,Directed,1256,,,1,1
753,840,Directed,1257,,,1,0.8
769,847,Directed,1258,,,1,1
847,769,Directed,1259,,,1,0.9
824,623,Directed,1260,,,1,0.8
911,908,Directed,1261,,,1,1
911,548,Directed,1262,,,1,1
911,832,Directed,1263,,,1,1
923,920,Directed,1264,,,1,1
922,894,Directed,1265,,,1,1
832,920,Directed,1266,,,1,1
198,534,Directed,1267,,,1,1
977,610,Directed,1268,,,1,1
977,923,Directed,1269,,,1,1
249,241,Directed,1270,,,1,0.8
418,489,Directed,1271,,,1,0.9
489,418,Directed,1272,,,1,0.9
1012,554,Directed,1273,,,1,1
687,908,Directed,1274,,,1,1
908,1013,Directed,1275,,,1,1
832,25,Directed,1276,,,1,1
1013,908,Directed,1277,,,1,1
4,13,Directed,1278,,,1,0.8
1024,832,Directed,1279,,,1,0.8
1023,923,Directed,1280,,,1,1
1027,832,Directed,1281,,,1,0.9
832,241,Directed,1282,,,1,1
13,4,Directed,1283,,,1,0.8
950,678,Directed,1284,,,1,0.8
540,475,Directed,1285,,,1,1
353,1046,Directed,1286,,,1,0.8
920,832,Directed,1287,,,1,1
922,606,Directed,1288,,,1,1
19,7,Directed,1289,,,1,0.9
19,1,Directed,1290,,,1,0.9
1014,777,Directed,1291,,,1,1
1026,908,Directed,1292,,,1,1
533,1068,Directed,1293,,,1,1
533,530,Directed,1294,,,1,1
1074,733,Directed,1295,,,1,0.8
760,1076,Directed,1296,,,1,1
606,908,Directed,1297,,,1,1
777,1014,Directed,1298,,,1,1
1092,908,Directed,1299,,,1,1
64,1094,Directed,1300,,,1,1
1094,64,Directed,1301,,,1,1
1092,492,Directed,1302,,,1,1
492,908,Directed,1303,,,1,1
576,104,Directed,1304,,,1,1
1109,923,Directed,1305,,,1,1
1065,1119,Directed,1306,,,1,1
922,953,Directed,1307,,,1,1
922,1122,Directed,1308,,,1,1
1122,922,Directed,1309,,,1,1
1125,882,Directed,1310,,,1,1
1133,710,Directed,1311,,,1,1
710,1133,Directed,1312,,,1,1
1013,1092,Directed,1313,,,1,1
1092,1013,Directed,1314,,,1,1
1095,1092,Directed,1315,,,1,1
1095,908,Directed,1316,,,1,1
1139,1140,Directed,1317,,,1,1
1,197,Directed,1318,,,1,0.8
1,60,Directed,1319,,,1,0.8
1,41,Directed,1320,,,1,0.8
1,39,Directed,1321,,,1,0.8
1,6,Directed,1322,,,1,0.8
353,134,Directed,1323,,,1,1
484,593,Directed,1324,,,1,1
270,1174,Directed,1325,,,1,1
198,959,Directed,1326,,,1,1
959,198,Directed,1327,,,1,1
882,7,Directed,1328,,,1,1
500,1191,Directed,1329,,,1,1
768,1196,Directed,1330,,,1,0.8
1196,768,Directed,1331,,,1,0.8
1191,500,Directed,1332,,,1,1
1232,923,Directed,1333,,,1,1
1084,1100,Directed,1334,,,1,1
1100,1084,Directed,1335,,,1,1
908,1257,Directed,1336,,,1,1
1257,908,Directed,1337,,,1,1
1260,1037,Directed,1338,,,1,1
1260,1261,Directed,1339,,,1,1
1260,1166,Directed,1340,,,1,1
1257,4,Directed,1341,,,1,0.9
1174,270,Directed,1342,,,1,1
1285,923,Directed,1343,,,1,1
1217,775,Directed,1344,,,1,0.9
1291,1277,Directed,1345,,,1,1
1277,1291,Directed,1346,,,1,1
540,626,Directed,1347,,,1,1
626,540,Directed,1348,,,1,1
1261,1260,Directed,1349,,,1,1
997,1217,Directed,1350,,,1,0.8
1217,997,Directed,1351,,,1,0.8
468,566,Directed,1352,,,1,1
1098,7,Directed,1353,,,1,1
1119,1065,Directed,1354,,,1,1
911,1326,Directed,1355,,,1,1
1326,911,Directed,1356,,,1,1
1268,1094,Directed,1357,,,1,1
113,1340,Directed,1358,,,1,1
1094,1268,Directed,1359,,,1,0.9
283,7,Directed,1360,,,1,1
1358,518,Directed,1361,,,1,1
