source,target,rating
13,16,0.8
13,10,0.8
21,1,0.8
21,10,0.8
21,8,0.9
10,1,0.8
10,21,0.8
10,25,1.0
13,1,0.8
1,17,0.9
17,1,0.9
61,20,0.8
71,1,0.8
119,1,1.0
119,127,1.0
1,2,0.8
127,119,1.0
2,3,0.8
1,7,0.9
2,1,0.8
39,2,0.8
33,1,0.8
237,202,1.0
2,62,0.8
80,81,0.8
60,257,1.0
149,25,1.0
279,60,0.8
283,284,1.0
284,283,1.0
21,93,0.8
93,21,0.8
313,45,1.0
57,7,0.8
4,202,0.8
330,7,1.0
342,395,1.0
410,201,1.0
198,2,0.8
219,1,1.0
397,278,0.8
51,451,1.0
451,51,1.0
486,1,1.0
21,490,0.8
64,104,1.0
132,7,1.0
111,499,1.0
499,111,1.0
490,21,0.8
520,484,1.0
144,202,0.8
202,144,0.8
300,529,1.0
529,300,1.0
571,570,1.0
570,571,1.0
581,159,1.0
588,587,1.0
602,159,1.0
200,623,1.0
484,304,1.0
628,605,0.8
623,200,1.0
113,7,0.8
395,342,1.0
636,635,1.0
650,651,1.0
651,650,1.0
691,523,1.0
678,717,0.9
184,720,1.0
721,64,1.0
720,184,1.0
717,678,0.9
167,2,0.8
167,245,0.8
167,223,0.8
167,39,0.8
39,167,0.8
39,223,0.8
39,245,0.8
39,1,0.8
747,732,1.0
64,770,1.0
770,64,1.0
778,732,1.0
780,814,1.0
814,780,1.0
353,1,1.0
9,1,1.0
61,109,1.0
753,840,0.8
769,847,1.0
847,769,0.9
824,623,0.8
911,908,1.0
911,548,1.0
911,832,1.0
923,920,1.0
922,894,1.0
832,920,1.0
198,534,1.0
977,610,1.0
977,923,1.0
249,241,0.8
418,489,0.9
489,418,0.9
1012,554,1.0
687,908,1.0
908,1013,1.0
832,25,1.0
1013,908,1.0
4,13,0.8
1024,832,0.8
1023,923,1.0
1027,832,0.9
832,241,1.0
13,4,0.8
950,678,0.8
540,475,1.0
353,1046,0.8
920,832,1.0
922,606,1.0
19,7,0.9
19,1,0.9
1014,777,1.0
1026,908,1.0
533,1068,1.0
533,530,1.0
1074,733,0.8
760,1076,1.0
606,908,1.0
777,1014,1.0
1092,908,1.0
64,1094,1.0
1094,64,1.0
1092,492,1.0
492,908,1.0
576,104,1.0
1109,923,1.0
1065,1119,1.0
922,953,1.0
922,1122,1.0
1122,922,1.0
1125,882,1.0
1133,710,1.0
710,1133,1.0
1013,1092,1.0
1092,1013,1.0
1095,1092,1.0
1095,908,1.0
1139,1140,1.0
1,197,0.8
1,60,0.8
1,41,0.8
1,39,0.8
1,6,0.8
353,134,1.0
484,593,1.0
270,1174,1.0
